fit,qty,refs,value,part / MPN,footprint,notes
ALL,1,C1,100uF 50V,,Capacitor_THT:CP_Radial_D8.0mm_P3.50mm,"Electrolytic, 105 C"
ALL,1,C2,100nF 50V,,Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P5.00mm,Ceramic X7R
ALL,1,C3,1000uF 16V,,Capacitor_THT:CP_Radial_D10.0mm_P5.00mm,"Electrolytic low-ESR, 105 C"
ALL,3,C4 C8 C9,100nF,,Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P5.00mm,"C4: Ceramic | C8: VCC decoupling, at U3 pin 3 | C9: VIO decoupling, at U3 pin 5"
ALL,2,D1 D7,1N5822,1N5822,Diode_THT:D_DO-201AD_P15.24mm_Horizontal,"D1: Schottky 3 A 40 V, series reverse-polarity block | D7: Catch diode"
ALL,1,D2,1.5KE27A,Littelfuse 1.5KE27A,Diode_THT:D_DO-201_P15.24mm_Horizontal,"TVS 1500 W, unidirectional. Clamps surges; conducts on reverse polarity so F1 trips"
ALL,2,D3 D5,1N5819,1N5819,Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal,D3: Stops USB 5 V back-feeding this board when the DevKit is plugged into a PC | D5: Fan flyback
ALL,1,D4,PESD2CAN,Nexperia PESD2CAN,Package_TO_SOT_SMD:SOT-23,CAN bus ESD protection
ALL,1,D6,LED R/G CC,,LED_THT:LED_D5.0mm-3,"5 mm bicolour, common cathode. CHECK the pin order of the LED you buy"
ALL,1,F1,MF-RX160/72,Bourns MF-RX160/72,,"Resettable fuse, 1.6 A hold, 72 V, radial"
ALL,1,J1,12V IN,"Phoenix MKDS 1,5/2-5.08 (or any 5.08 mm 2-way)","TerminalBlock_Phoenix:TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal",Switched 12 V from an ACC fuse tap. NEVER OBD-II pin 16
ALL,1,J10,DevKitC-1 J1,2.54 mm female socket 1x22,Connector_PinSocket_2.54mm:PinSocket_1x22_P2.54mm_Vertical,Socket for ESP32-S3-DevKitC-1 (N16R8) header J1
ALL,1,J11,DevKitC-1 J3,2.54 mm female socket 1x22,Connector_PinSocket_2.54mm:PinSocket_1x22_P2.54mm_Vertical,Socket for ESP32-S3-DevKitC-1 (N16R8) header J3
ALL,1,J2,OBD-II CAN,"Phoenix MKDS 1,5/3-5.08","TerminalBlock_Phoenix:TerminalBlock_Phoenix_MKDS-1,5-3-5.08_1x03_P5.08mm_Horizontal","To OBD-II pin 6 (CANH), 14 (CANL), 5 (signal GND). No pin 16 position exists"
ALL,1,J3,GPS NEO-6M,,Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical,GY-GPS6MV2 module. Its RX stays unconnected: GPIO19 is USB D- on the S3
ALL,1,J4,DHT22,,Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical,DHT22 / AM2302
ALL,1,J5,FAN,,Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical,Fan connector
ALL,1,JP2,TERM BENCH ONLY,,Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical,OPEN in a vehicle (it is already 60 R). CLOSED on a two-node bench
ALL,1,JP3,FAN VOLTAGE,,Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical,1-2: 5 V fan. 2-3: 12 V fan
ALL,1,L1,100uH 3A,,,"Power inductor 100 uH, >= 3 A saturation (toroid or drum)"
ALL,1,Q1,IRLZ44N,IRLZ44N,Package_TO_SOT_THT:TO-220-3_Vertical,Fan low-side switch (as on the proven prototype)
ALL,1,R3,1k,,Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,"Series, GPIO5 to TXD"
ALL,2,R4 R6,10k,,Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,R4: TXD held recessive | R6: DHT22 data pull-up
ALL,1,R5,120R,,Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,"Terminator, bench only"
ALL,3,R7 R9 R10,330R,,Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,R7: Gate series | R9: LED red | R10: LED green
ALL,1,R8,100k,,Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,Gate pull-down: fan off while the ESP32 boots
ALL,1,SW1,BUTTON,,Button_Switch_THT:SW_PUSH_6mm,6 mm tactile. GPIO0: held at power-up it enters download mode
ALL,1,TP1,VIN_P,,TestPoint:TestPoint_THTPad_D2.0mm_Drill1.0mm,Test point
ALL,1,TP2,GND,,TestPoint:TestPoint_THTPad_D2.0mm_Drill1.0mm,Test point
ALL,1,TP3,+5V,,TestPoint:TestPoint_THTPad_D2.0mm_Drill1.0mm,Test point
ALL,1,U1,LM2576HVT-5.0,TI LM2576HVT-5.0,Package_TO_SOT_THT:TO-220-5_P3.4x3.7mm_StaggerOdd_Lead3.8mm_Vertical,"Buck 5 V 3 A, 60 V input. FB senses the output on the fixed version"
ALL,1,U3,TJA1051T/3,NXP TJA1051T/3,Package_SO:SOIC-8_3.9x4.9mm_P1.27mm,CAN transceiver. S tied HIGH = Silent mode: the transmitter is off in silicon
FLEET,1,C5,1000uF 10V,,Capacitor_THT:CP_Radial_D10.0mm_P5.00mm,Electrolytic low-ESR
FLEET,1,C6,2200uF 10V,,Capacitor_THT:CP_Radial_D12.5mm_P5.00mm,Low-ESR bulk AT the modem connector (fleet 01-PINOUT)
FLEET,1,C7,100nF,,Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P5.00mm,Decoupling
FLEET,1,D8,1N5822,1N5822,Diode_THT:D_DO-201AD_P15.24mm_Horizontal,Catch diode
FLEET,1,J6,A7670C,,Connector_PinHeader_2.54mm:PinHeader_1x07_P2.54mm_Vertical,To the A7670C board. MATCH THIS TO THE BOARD YOU BUY before ordering the PCB
FLEET,1,JP1,MODEM SUPPLY,,Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical,1-2: 4.0 V to a bare-module VBAT. 2-3: 12 V to a breakout with its own regulator
FLEET,1,JP4,VREF=3V3,,Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical,CLOSE only if the modem board's UART is 3.3 V and has no VREF output of its own
FLEET,1,JP5,AUTO-ON,,Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical,"Fit OPEN. Closing it holds PWRKEY low for auto power-on, which the A7670 manual does not promise: test on the real module first"
FLEET,1,L2,100uH 3A,,,"Power inductor 100 uH, >= 3 A saturation. Modem bursts reach ~2 A"
FLEET,1,Q2,2N7000,2N7000,Package_TO_SOT_THT:TO-92_Inline,Pulls PWRKEY low on command (GPIO14)
