net,connections
+3V3,C9.1 J10.1 J10.2 J4.1 JP4.2 R12.2 R14.2 R4.2 R6.2 U3.5 U3.8
+4V0,C5.1 JP1.1 L2.2 R1.1 TP4.1
+5V,C3.1 C4.1 C8.1 D3.2 J3.1 JP3.1 L1.2 TP3.1 U1.4 U3.3
+5V_ESP,D3.1 J10.21
BTN,J11.14 SW1.1
CANH,D4.1 J2.1 R5.1 U3.7
CANL,D4.2 J2.2 JP2.2 U3.6
CAN_RX,J10.4 U3.4
CAN_TX,J10.5 R3.1
DHT_DATA,J10.8 J4.2 R6.1
FAN_G,Q1.1 R7.2 R8.1
FAN_IO,J10.19 R7.1
FAN_SW,D5.2 J5.2 Q1.2
FAN_V,D5.1 J5.1 JP3.2
FB4,R1.2 R2.1 U2.4
GND,C1.2 C2.2 C3.2 C4.2 C5.2 C6.2 C7.2 C8.2 C9.2 D2.2 D4.3 D6.2 D7.2 D8.2 J1.2 J10.22 J11.1 J11.21 J11.22 J2.3 J3.2 J4.3 J6.2 J6.3 JP5.2 Q1.3 Q2.1 R16.2 R2.2 R8.2 SW1.2 TP2.1 U1.3 U1.5 U2.3 U2.5 U3.2
GPS_TXD,J10.11 J3.3
LED_G_A,D6.3 R10.2
LED_G_IO,J11.17 R10.1
LED_R_A,D6.1 R9.2
LED_R_IO,J11.18 R9.1
MDM_RXD_LV,J6.5 Q4.2 R13.1
MDM_RX_3V3,J10.9 Q3.3 R12.1
MDM_TXD_LV,J6.4 Q3.2 R11.1
MDM_TX_3V3,J10.10 Q4.3 R14.1
MDM_VREF,J6.7 JP4.1 Q3.1 Q4.1 R11.2 R13.2
MODEM_PWR,C6.1 C7.1 J6.1 JP1.2
PWRKEY,J6.6 JP5.1 Q2.3
PWRKEY_G,Q2.2 R15.2 R16.1
PWRKEY_IO,J10.20 R15.1
SW4,D8.1 L2.1 U2.2
SW5,D7.1 L1.1 U1.2
TERM,JP2.1 R5.2
TXD_T,R3.2 R4.1 U3.1
VIN_F,D1.2 D2.1 F1.2
VIN_P,C1.1 C2.1 D1.1 JP1.3 JP3.3 TP1.1 U1.1 U2.1
VIN_RAW,F1.1 J1.1
